Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Zack Wheeler,31,PHI,NL,7.5,14,10,0.583,2.78,32,32,0,3,2,0,213.1,169,72,66,16,46,1,247,8,0,6,849,150,2.59,1.008,7.1,0.7,1.9,10.4,5.37,"AS,CYA-2,MVP-19"
2,Walker Buehler,26,LAD,NL,7.1,16,4,0.8,2.47,33,33,0,0,0,0,207.2,149,61,57,19,52,2,212,6,0,5,815,171,3.16,0.968,6.5,0.8,2.3,9.2,4.08,"AS,CYA-4"
3,Adam Wainwright,39,STL,NL,3.8,17,7,0.708,3.05,32,32,0,3,1,0,206.1,168,72,70,21,50,3,174,9,1,4,828,128,3.66,1.057,7.3,0.9,2.2,7.6,3.48,"CYA-7,MVP-20"
4,Sandy Alcántara,25,MIA,NL,4.2,9,15,0.375,3.19,33,33,0,1,0,0,205.2,171,85,73,21,50,2,201,10,1,6,837,132,3.42,1.075,7.5,0.9,2.2,8.8,4.02,
5,Robbie Ray*,29,TOR,AL,6.9,13,7,0.65,2.84,32,32,0,0,0,0,193.1,150,62,61,33,52,0,248,4,0,5,773,157,3.69,1.045,7,1.5,2.4,11.5,4.77,"CYA-1,MVP-15"
6,Kevin Gausman,30,SFG,NL,5.2,14,6,0.7,2.81,33,33,0,0,0,0,192,150,66,60,20,50,1,227,4,0,7,775,147,3,1.042,7,0.9,2.3,10.6,4.54,"AS,CYA-6,MVP-21"
7,José Berríos,27,2TM,AL,3.4,12,9,0.571,3.52,32,32,0,1,0,0,192,159,83,75,22,45,0,204,15,0,3,781,123,3.47,1.063,7.5,1,2.1,9.6,4.53,CYA-9
8,José Berríos,27,MIN,AL,1.9,7,5,0.583,3.48,20,20,0,1,0,0,121.2,95,53,47,14,32,0,126,8,0,3,490,122,3.58,1.044,7,1,2.4,9.3,3.94,
9,José Berríos,27,TOR,AL,1.5,5,4,0.556,3.58,12,12,0,0,0,0,70.1,64,30,28,8,13,0,78,7,0,0,291,125,3.28,1.095,8.2,1,1.7,10,6,
10,Luis Castillo,28,CIN,NL,4.2,8,16,0.333,3.98,33,33,0,0,0,0,187.2,181,94,83,19,75,4,192,7,1,1,803,117,3.75,1.364,8.7,0.9,3.6,9.2,2.56,
11,Frankie Montas,28,OAK,AL,3.8,13,9,0.591,3.37,32,32,0,0,0,0,187,164,79,70,20,57,1,207,7,0,11,778,122,3.37,1.182,7.9,1,2.7,10,3.63,CYA-6
12,Charlie Morton,37,ATL,NL,3.9,14,6,0.7,3.34,33,33,0,0,0,0,185.2,136,77,69,16,58,1,216,17,0,5,756,130,3.18,1.045,6.6,0.8,2.8,10.5,3.72,
13,Julio Urías*,24,LAD,NL,4.8,20,3,0.87,2.96,32,32,0,0,0,0,185.2,151,67,61,19,38,3,195,7,1,2,745,143,3.13,1.018,7.3,0.9,1.8,9.5,5.13,CYA-7
14,Nathan Eovaldi,31,BOS,AL,4.3,11,9,0.55,3.75,32,32,0,0,0,0,182.1,182,81,76,15,35,2,195,7,0,6,764,125,2.79,1.19,9,0.7,1.7,9.6,5.57,"AS,CYA-4,MVP-15"
15,Kyle Gibson,33,2TM,2LG,3.5,10,9,0.526,3.71,31,30,0,0,0,0,182,158,78,75,17,64,2,155,8,1,2,754,117,3.87,1.22,7.8,0.8,3.2,7.7,2.42,AS
16,Kyle Gibson,33,TEX,AL,3.2,6,3,0.667,2.87,19,19,0,0,0,0,113,92,38,36,9,41,0,94,5,0,2,460,154,3.76,1.177,7.3,0.7,3.3,7.5,2.29,
17,Kyle Gibson,33,PHI,NL,0.3,4,6,0.4,5.09,12,11,0,0,0,0,69,66,40,39,8,23,2,61,3,1,0,294,82,4.04,1.29,8.6,1,3,8,2.65,
18,Gerrit Cole,30,NYY,AL,5.7,16,8,0.667,3.23,30,30,0,2,1,0,181.1,151,69,65,24,41,0,243,2,1,5,726,133,2.92,1.059,7.5,1.2,2,12.1,5.93,"AS,CYA-2,MVP-15"
19,Joe Musgrove,28,SDP,NL,3.7,11,9,0.55,3.18,32,31,1,2,2,0,181.1,142,68,64,22,54,3,203,18,0,3,748,122,3.7,1.081,7,1.1,2.7,10.1,3.76,
20,Kyle Hendricks,31,CHC,NL,0.8,14,7,0.667,4.77,32,32,0,1,0,0,181,200,101,96,31,44,3,131,13,0,2,785,88,4.89,1.348,9.9,1.5,2.2,6.5,2.98,
21,Aaron Nola,28,PHI,NL,2.5,9,9,0.5,4.63,32,32,0,1,1,0,180.2,165,95,93,26,39,1,223,9,1,0,749,90,3.37,1.129,8.2,1.3,1.9,11.1,5.72,
22,Jordan Lyles,30,TEX,AL,0,10,13,0.435,5.15,32,30,1,0,0,0,180,194,104,103,38,56,0,146,7,0,9,769,86,5.34,1.389,9.7,1.9,2.8,7.3,2.61,
23,Tyler Mahle,26,CIN,NL,4.9,13,6,0.684,3.75,33,33,0,0,0,0,180,158,78,75,24,64,0,210,10,0,4,759,125,3.8,1.233,7.9,1.2,3.2,10.5,3.28,
24,Germán Márquez,26,COL,NL,2.4,12,11,0.522,4.4,32,32,0,3,1,0,180,165,92,88,21,64,5,176,4,0,15,756,109,3.86,1.272,8.3,1.1,3.2,8.8,2.75,AS
25,Chris Flexen,26,SEA,AL,3.4,14,6,0.7,3.61,31,31,0,0,0,0,179.2,185,74,72,19,40,0,125,4,0,2,741,114,3.89,1.252,9.3,1,2,6.3,3.13,
26,Sean Manaea*,29,OAK,AL,3.2,11,10,0.524,3.91,32,32,0,2,2,0,179.1,179,79,78,25,41,0,194,9,1,5,754,105,3.66,1.227,9,1.3,2.1,9.7,4.73,
27,Brandon Woodruff,28,MIL,NL,5.3,9,10,0.474,2.56,30,30,0,0,0,0,179.1,130,54,51,18,43,0,211,7,0,2,708,161,2.96,0.965,6.5,0.9,2.2,10.6,4.91,"AS,CYA-5"
