Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Logan Gilbert,27,SEA,AL,2.8,9,12,0.429,3.23,33,33,0,1,0,0,208.2,148,83,75,26,37,1,220,4,0,11,803,113,3.27,0.887,6.4,1.1,1.6,9.5,5.95,"AS,CYA-6"
2,Seth Lugo,34,KCR,AL,5.3,16,9,0.64,3,33,33,0,1,0,0,206.2,177,75,69,16,48,1,181,9,0,4,836,141,3.25,1.089,7.7,0.7,2.1,7.9,3.77,"AS,CYA-2,MVP-15,GG"
3,Logan Webb,27,SFG,NL,3.7,13,10,0.565,3.47,33,33,0,1,1,0,204.2,202,83,79,11,50,3,172,2,1,4,841,111,2.95,1.231,8.9,0.5,2.2,7.6,3.44,"AS,CYA-6"
4,Zack Wheeler,34,PHI,NL,6.1,16,7,0.696,2.57,32,32,0,0,0,0,200,139,62,57,20,52,0,224,8,0,8,787,158,3.13,0.955,6.3,0.9,2.3,10.1,4.31,"AS,CYA-2,MVP-12"
5,Aaron Nola,31,PHI,NL,3.6,14,8,0.636,3.57,33,33,0,1,1,0,199.1,189,84,79,30,50,0,197,3,0,2,820,114,3.94,1.199,8.5,1.4,2.3,8.9,3.94,CYA-11
6,Corbin Burnes,29,BAL,AL,3.4,15,9,0.625,2.92,32,32,0,0,0,0,194.1,165,76,63,22,48,0,181,2,3,7,784,128,3.55,1.096,7.6,1,2.2,8.4,3.77,"AS,CYA-5"
7,José Berríos,30,TOR,AL,2.2,16,11,0.593,3.6,32,32,0,1,0,0,192.1,168,79,77,31,54,1,153,13,0,1,786,112,4.72,1.154,7.9,1.5,2.5,7.2,2.83,
8,Tarik Skubal*,27,DET,AL,6.3,18,4,0.818,2.39,31,31,0,0,0,0,192,142,54,51,15,35,0,228,9,0,2,753,170,2.49,0.922,6.7,0.7,1.6,10.7,6.51,"AS,CYA-1,MVP-7"
9,George Kirby,26,SEA,AL,1.9,14,11,0.56,3.53,33,33,0,0,0,0,191,181,82,75,22,23,0,179,7,1,5,778,104,3.26,1.068,8.5,1,1.1,8.4,7.78,
10,Dylan Cease,28,SDP,NL,4.2,14,11,0.56,3.47,33,33,0,1,1,0,189.1,137,80,73,18,65,0,224,2,0,12,762,118,3.1,1.067,6.5,0.9,3.1,10.6,3.45,"CYA-4,MVP-22"
11,Jake Irvin,27,WSN,NL,1.9,10,14,0.417,4.41,33,33,0,0,0,0,187.2,173,97,92,29,52,1,156,4,1,5,769,91,4.41,1.199,8.3,1.4,2.5,7.5,3,
12,Cole Ragans*,26,KCR,AL,4.9,11,9,0.55,3.14,32,32,0,1,0,0,186.1,146,71,65,15,67,1,223,6,0,11,762,135,2.99,1.143,7.1,0.7,3.2,10.8,3.33,"AS,CYA-4"
13,Pablo López,28,MIN,AL,2.5,15,10,0.6,4.08,32,32,0,0,0,0,185.1,180,90,84,26,41,0,198,8,0,3,772,102,3.65,1.192,8.7,1.3,2,9.6,4.83,
14,Kutter Crawford,28,BOS,AL,2,9,16,0.36,4.36,33,33,0,0,0,0,183.2,155,97,89,34,51,0,175,9,0,4,759,98,4.65,1.122,7.6,1.7,2.5,8.6,3.43,
